naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Corylus avellana 'Contorta',https: / www.ebben.nl / nl / treeebb / coaconto-corylus-avellana-contorta,karakteristieke bomen / solitair heesters,,meerstammig parasol,,2 - 4 m,2 - 4 m,halfopen,vaas,5A - 8B,vlinders / vogels / kleine zoogdieren / mensen,droog / vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,neutraal / basisch,,park / bakken / containers / daktuin / grote tuin / kleine tuin / begraafplaats,geen,,
Cornus alba 'Elegantissima',https: / www.ebben.nl / nl / treeebb / coaelega-cornus-alba-elegantissima,bosplantsoen / solitair heesters,,,,1 - 3 m,1 - 3 m,halfopen,afgeplat rond,3A - 8B,bijen / vlinders / vogels / nectarwaarde 1 / pollenwaarde 1,droog / vochtig / nat,,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,park / groenstrook / daktuin / grote tuin / kleine tuin / begraafplaats / windsingel,geen,,
Cornus alba 'Gouchaultii',https: / www.ebben.nl / nl / treeebb / coagouch-cornus-alba-gouchaultii,solitair heesters,,,,2 - 3 m,2 - 3 m,halfopen,afgeplat rond,3A - 8B,bijen / vlinders / vogels / nectarwaarde 1 / pollenwaarde 1,droog / vochtig / nat,,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,park / groenstrook / daktuin / grote tuin / kleine tuin / begraafplaats,geen,,
Cornus alba 'Kesselringii',https: / www.ebben.nl / nl / treeebb / coakesse-cornus-alba-kesselringii,bosplantsoen / solitair heesters,,,,3 - 4 m,3 - 4 m,halfopen,afgeplat rond,3A - 8B,bijen / vlinders / vogels / nectarwaarde 1 / pollenwaarde 1,droog / vochtig / nat,,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,landschappelijke beplanting / schaduwtolerant,park / groenstrook / daktuin / grote tuin / kleine tuin / begraafplaats,geen,,
Cornus alba,https: / www.ebben.nl / nl / treeebb / coalba-cornus-alba,bosplantsoen / solitair heesters,onderbeplanting,,,3 - 4 m,3 - 4 m,halfopen,afgeplat rond,3A - 8B,bijen / vlinders / vogels / nectarwaarde 1 / pollenwaarde 1,droog / vochtig / nat,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,ecobeplanting / landschappelijke beplanting / schaduwtolerant / stedelijke beplanting,"park / groenstrook / daktuin / grote tuin / kleine tuin / begraafplaats / verkeer, industrie / landschap / windsingel",geen,,
Cornus alternifolia,https: / www.ebben.nl / nl / treeebb / coaltern-cornus-alternifolia,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,6 - 8 m,6 - 8 m,gesloten,afgeplat rond,5B - 7B,bijen / vlinders / vogels,droog / vochtig,,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal,schaduwtolerant,park / groenstrook / bakken / containers / grote tuin / begraafplaats,geen,,
Colutea arborescens,https: / www.ebben.nl / nl / treeebb / coarbore-colutea-arborescens,solitair heesters,,,,1 - 3 m,1 - 3 m,,,6A - 9B,bijen / vlinders / nectarwaarde 3 / pollenwaarde 3,zeer droog / droog,verdraagt strooizout,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,neutraal / basisch,ecobeplanting,park / groenstrook / grote tuin / kleine tuin,geen,,
Cornus alba 'Sibirica',https: / www.ebben.nl / nl / treeebb / coasibir-cornus-alba-sibirica,solitair heesters,onderbeplanting,,,1 - 3 m,1 - 3 m,halfopen,,3A - 8B,bijen / vlinders / vogels / nectarwaarde 1 / pollenwaarde 1,droog / vochtig / nat,,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,park / groenstrook / daktuin / grote tuin / kleine tuin / begraafplaats,geen,,
Corylus avellana,https: / www.ebben.nl / nl / treeebb / coavella-corylus-avellana,hoogstam bomen / halfstam bomen / meerstammige bomen / karakteristieke bomen / fruitbomen / bosplantsoen / solitair heesters,onderbeplanting,meerstammig parasol,haag,4 - 8 m,5 - 10 m,gesloten,vaas,5A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen,droog / vochtig,,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt matige wind / verdraagt wind,zuur / neutraal / basisch,voedselbos / landschappelijke beplanting / schaduwtolerant,park / groenstrook / grote tuin / landschap / ecologische zone,geen,1a,inheems
Cornus canadensis,https: / www.ebben.nl / nl / treeebb / cocanade-cornus-canadensis,solitair heesters,onderbeplanting / bodembedekker / vaste planten,,,"0,25 - 0,5 m","0,1 - 0,25 m",,,2A - 7B,bijen / vlinders / kleine zoogdieren / vogels / mensen,vochtig,,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal,ecobeplanting,park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Corylus colurna 'Fastigiata',https: / www.ebben.nl / nl / treeebb / cocfasti-corylus-colurna-fastigiata,hoogstam bomen / beveerde bomen,,,,4 - 6 m,12 - 15 m,gesloten,smal piramidaal,5B - 9A,bijen / vogels / kleine zoogdieren / mensen,droog / vochtig,verdraagt droogte,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind,neutraal / basisch,,straat / laan / plein / park / groenstrook / grote tuin / begraafplaats,geen / open / dicht,,
Cotinus coggygria,https: / www.ebben.nl / nl / treeebb / cocoggyg-cotinus-coggygria,hoogstam bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,3 - 5 m,3 - 5 m,open,breed ovaal,6A - 8B,bijen / nectarwaarde 4 / pollenwaarde 4,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,neutraal / basisch,ecobeplanting / stedelijke beplanting,"park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin / verkeer, industrie",geen,,
Corylus colurna,https: / www.ebben.nl / nl / treeebb / cocolurn-corylus-colurna,hoogstam bomen / beveerde bomen / meerstammige bomen / schaduwbomen / fruitbomen / bosplantsoen,,,,10 - 12 m,20 - 25 m,halfopen,breed eirond,5B - 9A,bijen / vogels / kleine zoogdieren / mensen,zeer droog / droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind,neutraal / basisch,landschappelijke beplanting / stedelijke beplanting,"straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / landschap",geen / open / dicht,,
