naam,wetenschappelijke_naam,inheems,standplaats_licht,vocht,bodem,ellenberg_l,ellenberg_l_min,ellenberg_l_max,ellenberg_f,ellenberg_f_min,ellenberg_f_max,ellenberg_t,ellenberg_t_min,ellenberg_t_max,ellenberg_n,ellenberg_n_min,ellenberg_n_max,ellenberg_r,ellenberg_r_min,ellenberg_r_max,ellenberg_s,ellenberg_s_min,ellenberg_s_max,hoogte,breedte,winterhardheidszone,grondsoorten
Aronskelk (G),Arum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arum concinnatum,,halfschaduw,vochtig,,4.0,4.0,4.0,6.0,6.0,6.0,11.0,11.0,11.0,8.0,8.0,8.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Italiaanse aronskelk,Arum italicum,ja,halfschaduw / zon,droog / vochtig / nat,,5.333333333333334,4.0,8.0,5.25,4.0,7.25,7.5,5.5,9.0,6.083333333333332,5.0,7.0,6.333333333333332,5.0,8.0,0.0,0.0,0.0,,,,
Italiaanse x Gevlekte aronskelk,Arum italicum x maculatum,,,,,,,,,,,,,,,,,,,,,,,,,,
Gevlekte aronskelk,Arum maculatum,ja,schaduw / halfschaduw / zon,vochtig / nat,,3.7142857142857144,3.0,7.0,6.0,5.0,7.0,6.285714285714286,5.0,8.0,7.428571428571429,5.0,8.0,7.285714285714286,7.0,9.0,0.0,0.0,0.0,,,,
,Arum orientale,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruncus (G),Aruncus,,,,,,,,,,,,,,,,,,,,,,,,,,
Geitenbaard,Aruncus dioicus,,halfschaduw,vochtig / nat,,4.142857142857143,4.0,5.0,6.178571428571429,5.0,7.25,4.71875,3.0,6.0,7.833333333333333,7.0,8.0,6.666666666666667,6.0,7.0,0.0,0.0,0.0,,,,
Arundinaria (G),Arundinaria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arundo,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arundo donax,,zon,vochtig / nat / zeer nat,,8.333333333333334,8.0,9.0,6.666666666666667,5.0,8.0,9.25,8.0,11.0,7.0,6.0,8.0,6.666666666666667,5.0,8.0,0.6666666666666666,0.0,1.0,,,,
,Asarina,,,,,,,,,,,,,,,,,,,,,,,,,,
Kruipende asarina,Asarina procumbens,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,
Asarum (G),Asarum,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansoor,Asarum europaeum,,schaduw / halfschaduw,vochtig / nat,,3.1666666666666665,3.0,4.0,5.5,5.0,6.5,5.369047619047619,3.0,8.0,6.0,5.0,7.0,7.2,7.0,8.0,0.0,0.0,0.0,,,,
,Asclepias,,,,,,,,,,,,,,,,,,,,,,,,,,
Zijdeplant,Asclepias syriaca,ja,zon,droog / vochtig,,7.6,7.0,8.0,5.05,4.0,6.25,6.916666666666667,5.5,8.0,5.0,4.0,6.0,6.5,5.0,8.0,0.25,0.0,1.0,,,,
,Asclepias tuberosa,,,,,,,,,,,,,,,,,,,,,,,,,,
Asperge (G),Asparagus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asparagus aethiopicus,,,,,,,,,,,,,,,,,,,,,,,,,,
Asperge / Liggende asperge,Asparagus officinalis,,halfschaduw / zon,droog / vochtig,,7.03125,6.0,8.0,3.8333333333333335,3.0,5.0,6.671875,5.0,8.0,4.285714285714286,3.0,5.0,6.0,5.0,7.0,0.35714285714285715,0.0,3.0,,,,
Asperge,Asparagus officinalis subsp. officinalis,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Liggende asperge,Asparagus officinalis subsp. prostratus,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Asperugo (G),Asperugo,,,,,,,,,,,,,,,,,,,,,,,,,,
Scherpkruid,Asperugo procumbens,ja,zon,zeer droog / droog / vochtig,,7.25,7.0,9.0,3.75,1.0,5.0,5.71875,4.0,7.0,8.285714285714286,6.0,9.0,8.0,8.0,8.0,0.16666666666666666,0.0,1.0,,,,
Bedstro (G),Asperula,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkerbedstro,Asperula arvensis,ja,zon,zeer droog / droog / vochtig,,7.3125,7.0,9.0,3.90625,1.0,5.25,7.527777777777778,5.75,10.0,4.285714285714286,3.0,6.0,8.428571428571429,7.0,9.0,0.0,0.0,0.0,,,,
Kalkbedstro,Asperula cynanchica,,zon,zeer droog / droog / vochtig,,7.5,7.0,9.0,2.95,1.0,4.5,6.428571428571429,5.0,7.0,2.75,2.0,3.0,7.875,7.0,8.0,0.0,0.0,0.0,,,,
Blauw bedstro,Asperula orientalis,,zon,droog,,7.0,7.0,7.0,4.0,4.0,4.0,9.0,9.0,9.0,4.0,4.0,4.0,9.0,9.0,9.0,0.0,0.0,0.0,,,,
Turijns bedstro,Asperula taurina,,halfschaduw,vochtig,,5.083333333333333,4.0,6.0,5.375,5.0,6.25,6.178571428571429,3.0,8.0,5.6,4.0,6.0,7.8,7.0,8.0,0.0,0.0,0.0,,,,
,Asphodelus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asphodelus tenuifolius,,zon,zeer droog,,9.0,9.0,9.0,2.0,2.0,2.0,8.0,8.0,8.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,,,,
,Aspidium,,,,,,,,,,,,,,,,,,,,,,,,,,
Streepvaren (G),Asplenium,,,,,,,,,,,,,,,,,,,,,,,,,,
Zwartsteel,Asplenium adiantum-nigrum,ja,schaduw / halfschaduw / zon,zeer droog / droog / vochtig / nat,,5.90625,3.0,9.0,4.177083333333334,2.0,6.5,6.613095238095239,4.5,9.0,2.7380952380952386,1.0,5.0,4.80952380952381,2.0,7.0,0.0,0.0,0.0,,,,
Schubvaren,Asplenium ceterach,ja,halfschaduw / zon,zeer droog / droog,,7.777777777777778,6.0,9.0,2.3333333333333335,1.0,3.0,7.53125,6.25,9.0,2.25,1.0,3.0,7.75,7.0,8.0,0.0,0.0,0.0,,,,
Genaalde streepvaren,Asplenium fontanum,,schaduw / halfschaduw,vochtig,,5.25,3.0,6.0,5.5,5.0,6.0,6.0,4.0,8.0,3.5,2.0,7.0,7.75,6.0,9.0,0.0,0.0,0.0,,,,
Forez-streepvaren,Asplenium foreziense,,halfschaduw,vochtig,,6.0,6.0,6.0,5.0,5.0,5.0,7.5,7.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,
,Asplenium obovatum,,schaduw / halfschaduw,droog / vochtig,,4.5,2.0,5.0,4.875,3.0,6.25,7.291666666666667,4.75,11.0,1.6666666666666667,1.0,3.0,4.2,4.0,5.0,0.0,0.0,0.0,,,,
Lancetvormige streepvaren,Asplenium obovatum subsp. lanceolatum,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Muurvaren,Asplenium ruta-muraria,ja,zon,zeer droog / droog / vochtig,,7.9,7.0,9.0,2.9,1.0,5.0,5.428571428571429,4.0,7.0,2.4444444444444446,2.0,4.0,7.888888888888889,7.0,8.0,0.0,0.0,0.0,,,,
Tongvaren,Asplenium scolopendrium,ja,schaduw / halfschaduw,droog / vochtig / nat / zeer nat,,3.5,2.0,6.0,5.90625,4.0,8.0,6.09375,4.0,9.0,5.142857142857143,2.0,7.0,8.0,7.0,9.0,0.0,0.0,0.0,,,,
Noordse streepvaren,Asplenium septentrionale,,zon,zeer droog / droog / vochtig,,7.928571428571429,7.5,8.0,2.857142857142857,1.0,5.0,4.875,4.0,6.0,2.0,2.0,2.0,2.1666666666666665,2.0,3.0,0.0,0.0,0.0,,,,
Steenbreekvaren,Asplenium trichomanes,ja,halfschaduw / zon,zeer droog / droog / vochtig,,5.622222222222223,4.0,9.0,4.090909090909091,1.0,6.0,5.666666666666667,5.0,7.0,2.9259259259259256,2.0,4.0,6.720000000000001,2.0,9.0,0.0,0.0,0.0,,,,
Steenbreekvaren subsp. pachyrachis,Asplenium trichomanes subsp. pachyrachis,,,,,,,,,,,,,,,,,,,,,,,,,,
Steenbreekvaren subsp. quadrivalens,Asplenium trichomanes subsp. quadrivalens,,,,,,,,,,,,,,,,,,,,,,,,,,
Steenbreekvaren subsp. trichomanes,Asplenium trichomanes subsp. trichomanes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groensteel,Asplenium viride,ja,halfschaduw / zon,zeer droog / droog / vochtig,,4.833333333333333,4.0,9.0,5.361111111111111,2.0,6.25,4.138888888888889,3.0,7.0,2.6666666666666665,1.0,4.0,7.875,7.0,9.0,0.0,0.0,0.0,,,,
,Asplenium x perardii,,,,,,,,,,,,,,,,,,,,,,,,,,
Aster (G),Aster,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanse dwergaster,Aster ageratoides,,,,,,,,,,,,,,,,,,,,,,,,,,
,Astilbe,,,,,,,,,,,,,,,,,,,,,,,,,,
,Astilbe japonica,,,,,,,,,,,,,,,,,,,,,,,,,,
,Astilbe rubra,,,,,,,,,,,,,,,,,,,,,,,,,,
,Astragalus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Astragalus boeticus,,zon,zeer droog / droog,,8.5,8.0,9.0,2.5,1.0,4.0,11.0,11.0,11.0,3.0,1.0,5.0,6.5,5.0,8.0,1.0,0.0,2.0,,,,
Bergerwt,Astragalus cicer,,halfschaduw / zon,droog / vochtig,,6.916666666666667,6.0,7.5,4.291666666666667,4.0,5.75,5.928571428571429,5.0,7.0,3.0,2.0,4.0,7.6,6.0,9.0,0.0,0.0,0.0,,,,
Hokjespeul,Astragalus glycyphyllos,ja,halfschaduw / zon,zeer droog / droog / vochtig,,6.5,6.0,9.0,4.15625,1.0,6.25,5.875,5.0,6.0,3.4285714285714284,1.0,5.0,7.142857142857143,7.0,8.0,0.0,0.0,0.0,,,,
,Astragalus hamosus,,zon,zeer droog / droog / vochtig,,7.75,7.0,9.0,3.75,2.0,5.0,8.5,5.5,11.0,6.0,6.0,6.0,7.5,7.0,8.0,0.3333333333333333,0.0,1.0,,,,
,Astragalus onobrychis,,zon,zeer droog / droog / vochtig,,8.333333333333334,7.5,9.0,2.3958333333333335,2.0,4.5,6.767857142857143,5.0,7.0,1.5,1.0,3.0,9.0,9.0,9.0,0.0,0.0,0.0,,,,
,Astragalus pelecinus,,zon,zeer droog / droog,,8.0,7.0,9.0,2.5,2.0,3.0,10.0,9.0,11.0,3.5,2.0,5.0,7.5,7.0,8.0,0.5,0.0,1.0,,,,
,Astrantia,,,,,,,,,,,,,,,,,,,,,,,,,,
Groot sterrenscherm,Astrantia major,,halfschaduw / zon,droog / vochtig / nat,,6.285714285714286,5.0,9.0,5.6875,4.0,6.5,3.864583333333334,3.0,4.25,4.833333333333333,2.0,6.0,7.166666666666667,6.0,8.0,0.0,0.0,0.0,,,,
Athyrium (G),Athyrium,,,,,,,,,,,,,,,,,,,,,,,,,,
Wijfjesvaren,Athyrium filix-femina,ja,schaduw / halfschaduw / zon,vochtig / nat / zeer nat,,3.8,3.0,7.0,7.204545454545454,5.0,12.0,5.464285714285714,4.0,9.0,5.555555555555555,4.0,6.0,5.333333333333333,5.0,6.0,0.0,0.0,0.0,,,,
Melde (G),Atriplex,,,,,,,,,,,,,,,,,,,,,,,,,,
Kustmelde,Atriplex glabriuscula,ja,zon,vochtig / nat,,9.0,9.0,9.0,6.333333333333333,6.0,7.0,5.0,4.0,6.0,8.0,7.0,9.0,7.0,7.0,7.0,4.333333333333333,3.0,7.0,,,,
Tuinmelde,Atriplex hortensis,,zon,droog / vochtig,,7.25,7.0,8.0,4.875,3.0,6.0,6.805555555555555,5.25,11.0,7.714285714285714,7.0,8.0,7.0,6.0,8.0,0.2857142857142857,0.0,1.0,,,,
Gelobde melde,Atriplex laciniata,ja,zon,vochtig / nat,,9.0,9.0,9.0,6.25,5.0,7.0,6.0,6.0,6.0,7.5,7.0,8.0,7.25,7.0,8.0,3.5,2.0,7.0,,,,
Strandmelde,Atriplex littoralis,ja,zon,vochtig,,8.928571428571429,8.5,9.0,5.55,5.0,6.0,6.0,5.0,7.0,8.333333333333334,6.0,9.0,7.0,7.0,7.0,6.714285714285714,4.0,8.0,,,,
Gesteelde spiesmelde,Atriplex longipes,ja,zon,vochtig / nat / zeer nat,,8.75,8.0,9.0,6.5,6.0,8.0,5.333333333333333,4.0,6.0,7.75,7.0,8.0,7.0,7.0,7.0,3.75,1.0,5.0,,,,
Grijze melde,Atriplex micrantha,nee,zon,vochtig,,9.0,9.0,9.0,5.0,5.0,5.0,6.5,6.0,8.0,6.0,6.0,6.0,,,,0.0,0.0,0.0,,,,
,Atriplex muelleri,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atriplex oblongifolia,,zon,droog / vochtig,,8.583333333333334,8.0,9.0,4.625,4.0,6.0,6.785714285714286,5.5,8.0,6.2,6.0,7.0,6.75,6.0,7.0,0.8,0.0,1.0,,,,
Uitstaande melde,Atriplex patula,ja,halfschaduw / zon,droog / vochtig / nat,,6.9,6.0,9.0,5.083333333333333,3.0,6.75,5.833333333333333,5.0,7.0,6.625,4.0,8.0,7.0,7.0,7.0,0.75,0.0,2.0,,,,
Gesteelde zoutmelde,Atriplex pedunculata,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Gesteelde / Gewone zoutmelde,Atriplex pedunculata / portulacoides,,,,,,,,,,,,,,,,,,,,,,,,,,
Gewone zoutmelde,Atriplex portulacoides,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Spiesmelde,Atriplex prostrata,ja,zon,vochtig / nat / zeer nat,,8.244444444444445,8.0,9.0,6.616666666666666,5.0,8.0,6.611111111111111,4.0,11.0,7.15,6.0,9.0,6.971428571428571,6.0,8.0,2.125,0.0,8.0,,,,
Gesteelde Spiesmelde / Spiesmelde,Atriplex prostrata / longipes,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atriplex prostrata subsp. calotheca,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atriplex rosea,,zon,vochtig / nat / zeer nat,,8.5,7.0,9.0,5.428571428571429,5.0,8.0,7.34375,5.75,11.0,7.166666666666667,7.0,8.0,6.8,6.0,7.0,1.6666666666666667,0.0,3.0,,,,
,Atriplex sagittata,,zon,vochtig,,8.642857142857142,7.0,9.0,5.25,5.0,6.25,6.84375,5.75,8.0,6.833333333333333,6.0,7.0,6.833333333333333,6.0,7.0,0.16666666666666666,0.0,1.0,,,,
,Atriplex suberecta,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atriplex tatarica,,zon,droog / vochtig,,8.928571428571429,8.5,9.0,3.7142857142857144,3.0,5.0,7.09375,5.75,8.0,6.166666666666667,6.0,7.0,7.333333333333333,7.0,8.0,1.2857142857142858,0.0,3.0,,,,
Spiesmelde x Gesteelde spiesmelde,Atriplex x gustafssoniana,,,,,,,,,,,,,,,,,,,,,,,,,,
Atropa (G),Atropa,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfskers,Atropa bella-donna,ja,halfschaduw,droog / vochtig,,5.875,5.0,6.0,5.15625,4.0,6.25,5.583333333333333,5.0,6.0,7.571428571428571,6.0,8.0,7.428571428571429,6.0,8.0,0.0,0.0,0.0,,,,
Aubrieta (G),Aubrieta,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubrietia,Aubrieta deltoidea,nee,zon,zeer droog / droog,,7.0,7.0,7.0,3.3333333333333335,2.0,4.0,7.5,6.0,8.0,4.666666666666667,2.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
,Aucuba,,,,,,,,,,,,,,,,,,,,,,,,,,
Broodboom,Aucuba japonica,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,6A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
,Aurinia,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotsschildzaad,Aurinia saxatilis,,zon,zeer droog / droog,,8.5,7.0,9.0,2.25,1.0,3.5,7.642857142857143,5.5,10.0,1.8,1.0,3.0,7.2,6.0,8.0,0.0,0.0,0.0,,,,
Haver (G),Avena,,,,,,,,,,,,,,,,,,,,,,,,,,
Baardhaver,Avena barbata,,zon,zeer droog / droog / vochtig,,8.0,7.0,9.0,2.3333333333333335,1.0,5.0,8.45,7.0,11.0,4.5,2.0,7.0,6.583333333333333,6.0,7.0,0.0,0.0,1.0,,,,
Oot,Avena fatua,ja,halfschaduw / zon,zeer droog / droog / vochtig,,7.333333333333333,6.0,9.0,4.527777777777778,1.0,6.0,6.638888888888889,4.75,10.0,6.0,4.0,7.0,6.875,6.0,7.0,0.0,0.0,0.0,,,,
Gekweekte haver,Avena sativa,,zon,vochtig,,7.75,7.0,8.0,5.0,5.0,5.0,6.0,5.0,7.0,6.75,6.0,7.0,6.0,5.0,7.0,0.0,0.0,0.0,,,,
Wilde haver,Avena sterilis,,zon,zeer droog / droog / vochtig,,8.0,7.0,9.0,3.255,1.0,5.0,8.083333333333334,6.25,11.0,5.5,4.0,7.0,6.8,6.0,8.0,0.3333333333333333,0.0,1.0,,,,
Evene,Avena strigosa,,zon,zeer droog / droog / vochtig / nat,,8.0,7.0,9.0,3.625,1.0,7.0,7.375,6.0,9.0,4.375,3.0,6.0,5.0,4.0,6.0,0.0,0.0,0.0,,,,
,Avenella,,,,,,,,,,,,,,,,,,,,,,,,,,
Bochtige smele,Avenella flexuosa,ja,halfschaduw / zon,droog / vochtig / nat,,6.194444444444445,5.0,9.0,5.321428571428571,4.0,6.5,4.708333333333333,2.0,8.0,2.6875,1.0,3.0,2.0625,2.0,3.0,0.0,0.0,0.0,,,,
Avenula (G),Avenula,,,,,,,,,,,,,,,,,,,,,,,,,,
Zachte haver,Avenula pubescens,ja,halfschaduw / zon,zeer droog / droog / vochtig,,6.537037037037036,5.0,9.0,3.5092592592592586,1.0,5.25,4.875,2.0,6.0,3.541666666666666,2.0,4.0,6.133333333333335,5.0,7.0,0.0,0.0,0.0,,,,
Axyris (G),Axyris,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoornmelde,Axyris amaranthoides,,,,,,,,,,,,,,,,,,,,,,,,,,
Kroosvaren (G),Azolla,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleine kroosvaren,Azolla cristata,ja,zon,zeer nat,,7.25,7.0,8.0,11.0,11.0,11.0,7.2,6.0,9.0,7.0,7.0,7.0,6.5,6.0,7.0,0.0,0.0,0.0,,,,
Grote kroosvaren,Azolla filiculoides,ja,halfschaduw / zon,zeer nat,,6.571428571428571,6.0,8.0,11.071428571428571,10.5,12.0,8.232142857142858,6.5,12.0,7.833333333333333,7.0,8.0,7.0,6.0,8.0,0.0,0.0,0.0,,,,
,Baccharis,,,,,,,,,,,,,,,,,,,,,,,,,,
Struikaster,Baccharis halimifolia,,zon,nat / zeer nat,,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,
Stijve / Kruipende moerasweegbree,Baldellia ranunculoides,,zon,zeer nat,,8.0,8.0,8.0,10.285714285714286,9.0,12.0,6.166666666666667,5.0,8.0,3.1666666666666665,2.0,8.0,5.0,4.0,6.0,0.6,0.0,1.0,,,,
Stijve moerasweegbree,Baldellia ranunculoides subsp. ranunculoides,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Kruipende moerasweegbree,Baldellia ranunculoides subsp. repens,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Ballote (G),Ballota,,,,,,,,,,,,,,,,,,,,,,,,,,
Stinkende ballote s.l.,Ballota nigra,,halfschaduw / zon,zeer droog / droog / vochtig,,7.375,6.0,9.0,4.65,1.0,6.0,6.7,5.5,11.0,7.527777777777778,6.0,8.0,7.208333333333333,7.0,8.0,0.125,0.0,1.0,,,,
Stinkende ballote,Ballota nigra subsp. meridionalis,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Echte ballote,Ballota nigra subsp. nigra,,,,,,,,,,,,,,,,,,,,,,,,,,
Bamboe (soort onbekend),Bambusoideae sp.,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarakruid (G),Barbarea,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitter barbarakruid,Barbarea intermedia,ja,zon,zeer droog / droog / vochtig / nat,,8.166666666666666,8.0,9.0,4.833333333333333,1.0,7.0,5.333333333333333,2.0,7.0,6.5,5.0,7.0,5.75,5.0,7.0,0.0,0.0,0.0,,,,
,Barbarea intermedia x vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barbarea rupicola,,zon,zeer droog,,8.0,8.0,8.0,2.0,2.0,2.0,10.0,10.0,10.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,
Stijf barbarakruid,Barbarea stricta,ja,zon,vochtig / nat,,7.928571428571429,7.5,8.0,6.8125,6.0,7.0,6.214285714285714,4.5,8.0,7.0,6.0,8.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Vroeg barbarakruid,Barbarea verna,,zon,vochtig,,8.0,8.0,8.0,5.083333333333333,5.0,5.5,6.291666666666667,5.75,8.0,6.0,6.0,6.0,5.5,5.0,6.0,0.0,0.0,0.0,,,,
Gewoon barbarakruid,Barbarea vulgaris,ja,zon,vochtig / nat,,7.833333333333333,7.0,8.0,6.083333333333333,5.75,7.0,6.5625,5.0,11.0,6.5,6.0,8.0,6.6,6.0,7.0,0.0,0.0,0.0,,,,
,Bartsia trixago,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoutkruid (G),Bassia,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruig zoutkruid,Bassia hirsuta,ja,zon,vochtig / nat / zeer nat,,8.875,8.5,9.0,6.9375,5.0,8.0,6.125,5.5,7.0,7.0,5.0,8.0,7.5,7.0,8.0,7.0,6.0,8.0,,,,
Studentenkruid,Bassia scoparia,,zon,droog / vochtig,,8.25,8.0,9.0,4.5,3.0,6.0,8.0,6.0,11.0,6.5,6.0,7.0,6.25,5.0,8.0,0.5,0.0,1.0,,,,
,Beckmannia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beckmannia eruciformis,,zon,nat / zeer nat,,7.25,7.0,8.0,8.3125,8.0,9.0,6.5,5.0,7.0,3.3333333333333335,3.0,4.0,8.333333333333334,7.0,9.0,4.75,4.0,6.0,,,,
Zompgras,Beckmannia syzigachne,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bellevalia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bellevalia ciliata,,zon,vochtig / nat,,8.0,8.0,8.0,6.5,6.0,7.0,8.5,8.0,9.0,4.0,3.0,5.0,5.5,5.0,6.0,0.0,0.0,0.0,,,,
,Bellevalia romana,,zon,vochtig / nat,,8.0,8.0,8.0,6.5,6.0,7.0,7.666666666666667,7.0,8.0,4.5,4.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,,,,
Bellis (G),Bellis,,,,,,,,,,,,,,,,,,,,,,,,,,
Madeliefje,Bellis perennis,ja,zon,zeer droog / droog / vochtig / nat,,8.1,7.0,9.0,4.925,2.0,6.75,5.75,4.0,10.0,5.0,2.0,6.0,5.166666666666667,4.0,6.0,0.125,0.0,1.0,,,,
Berberis (G),Berberis,,,,,,,,,,,,,,,,,,,,,,,,,,
Roze berberis,Berberis aggregata,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5B,Löss | Zavel | Lichte klei | Zand | Leem
Mahonie,Berberis aquifolium,ja,,,,,,,,,,,,,,,,,,,,,,,,,
,Berberis darwinii,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berberis empetrifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berberis gagnepainii,,,,,,,,,,,,,,,,,,,,,,,1.5,1.0,6A,Löss | Zavel | Lichte klei | Zand | Leem
,Berberis japonica,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese zuurbes,Berberis julianae,,,,,,,,,,,,,,,,,,,,,,,2.0,1.5,6A,Löss | Zavel | Lichte klei | Zand | Leem
,Berberis pinnata,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berberis repens,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanse berberis,Berberis thunbergii,nee,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,5A,Löss | Zavel | Zand | Leem
,Berberis verruculosa,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6B,Löss | Zavel | Veen | Lichte klei | Zand | Leem
Zuurbes,Berberis vulgaris,ja,halfschaduw / zon,zeer droog / droog / vochtig,,7.111111111111111,6.0,9.0,3.888888888888889,1.0,5.0,5.75,5.0,7.0,3.0,1.0,4.0,8.125,8.0,9.0,0.0,0.0,0.0,1.0,1.0,4A,Löss | Zavel | Zand | Leem
,Berberis wilsoniae,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6A,Alle grondsoorten
,Berberis x decumbens,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berberis x ottawensis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berberis x stenophylla,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,7A,Löss | Zavel | Lichte klei | Zand | Leem
,Berberis x wagneri,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bergenia,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoenlappersplant,Bergenia cordifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bergenia crassifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bergenia x schmidtii,,,,,,,,,,,,,,,,,,,,,,,,,,
Berteroa (G),Berteroa,,,,,,,,,,,,,,,,,,,,,,,,,,
Grijskruid,Berteroa incana,ja,zon,droog / vochtig,,8.75,7.5,9.0,3.4583333333333335,3.0,4.75,6.0,5.0,7.0,4.4,4.0,6.0,6.25,6.0,7.0,0.0,0.0,0.0,,,,
Berula (G),Berula,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleine watereppe,Berula erecta,ja,halfschaduw / zon,zeer nat,,7.25,6.0,8.0,9.88888888888889,9.0,11.0,5.464285714285714,4.25,6.0,6.142857142857143,5.0,7.0,7.5,7.0,8.0,0.5714285714285714,0.0,2.0,,,,
Beta (G),Beta,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beta macrocarpa,,zon,vochtig,,8.666666666666666,8.0,9.0,5.5,5.0,6.0,8.0,6.0,11.0,8.0,8.0,8.0,7.666666666666667,6.0,9.0,4.0,3.0,5.0,,,,
,Beta trigyna,,zon,droog / vochtig,,8.0,7.0,9.0,4.083333333333333,3.0,5.25,7.333333333333333,6.0,10.0,4.0,2.0,6.0,6.0,5.0,7.0,0.0,0.0,0.0,,,,
Biet s.l.,Beta vulgaris,,zon,droog / vochtig,,8.5,7.0,9.0,5.375,4.0,6.0,7.55,6.0,11.0,7.733333333333334,5.0,9.0,7.333333333333334,6.0,9.0,3.125,0.0,6.0,,,,
Strandbiet,Beta vulgaris subsp. maritima,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Gekweekte biet,Beta vulgaris subsp. vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betonica,,,,,,,,,,,,,,,,,,,,,,,,,,
Betonie,Betonica officinalis,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Berk (G),Betula,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betula costata,,,,,,,,,,,,,,,,,,,,,,,,,,
Zwarte berk,Betula nigra,,,,,,,,,,,,,,,,,,,,,,,18.0,7.0,4A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Ruwe berk,Betula pendula,ja,zon,droog / vochtig / nat,,7.1875,7.0,8.0,5.071428571428571,3.0,6.5,4.958333333333333,4.0,6.0,3.4,3.0,4.0,3.8,3.0,4.0,0.14285714285714285,0.0,1.0,15.0,9.0,2A,Löss | Zavel | Veen | Zand | Leem
Ruwe / Zachte berk,Betula pendula / pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,
